方向编号,方向,支撑关系,序号,标题,作者,出处,年份,国别,被引,类型,DOI,OpenAlexID
E9,水下声学感知与通信工程,支撑 D1/D2,42,Source Localization Using TDOA Measurements From Underwater Acoustic Sensor Networks,"Yanbin Zou, Jingna Fan",IEEE Sensors Letters,2023,国内,15,方法/分析,10.1109/lsens.2023.3274200,lsens.2023.3274200
E9,水下声学感知与通信工程,支撑 D1/D2,43,Research on Multi-AUVs Data Acquisition System of Underwater Acoustic Communication Network,"Chunxian Gao, Wenwen Hu, Keyu Chen",Sensors,2022,国内,10,工程落地,10.3390/s22145090,s22145090
E9,水下声学感知与通信工程,支撑 D1/D2,44,A Mobile-Beacon-Based Iterative Localization Mechanism in Large-Scale Underwater Acoustic Sensor Networks,"Yishan Su, Lei Guo, Zhigang Jin, Xiaomei Fu",IEEE Internet of Things Journal,2021,国内,73,方法/分析,10.1109/jiot.2020.3023556,jiot.2020.3023556
E9,水下声学感知与通信工程,支撑 D1/D2,45,Design of wideband tonpilz transducers for underwater SONAR applications with finite element model,"Zeeshan Abdullah, Sidra Naz, Muhammad Asif Zahoor Raja, Aneela Zameer",Applied Acoustics,2021,国外,51,工程落地,10.1016/j.apacoust.2021.108293,j.apacoust.2021.108293
E9,水下声学感知与通信工程,支撑 D1/D2,46,Underwater Acoustic Communication Receiver Using Deep Belief Network,"Abigail Lee-Leon, Chau Yuen, Dorien Herremans",IEEE Transactions on Communications,2021,国外,44,方法/分析,10.1109/tcomm.2021.3063353,tcomm.2021.3063353
E9,水下声学感知与通信工程,支撑 D1/D2,47,Statistical analysis of time-varying channel for underwater acoustic communication and network,"Honglu Yan, Tianlong Ma, Chenyu Pan, Yanan Liu, Songzuo Liu",2021 International Conference on Frontiers of Information Technology (FIT),2021,国内,11,方法/分析,10.1109/fit53504.2021.00020,fit53504.2021.00020
E10,养殖 AI 系统可信性工程（MLOps / 漂移监测 / 幻觉审计）,新方向（支撑 D6）,1,Water quality index prediction via a robust machine learning model using oxygen-related indices for river water quality monitoring,"Amin Arzhangi, Sadegh Partani",Scientific Reports,2026,国外,10,方法/分析,10.1038/s41598-026-36156-3,s41598-026-36156-3
E10,养殖 AI 系统可信性工程（MLOps / 漂移监测 / 幻觉审计）,新方向（支撑 D6）,2,Learning a robust adaptive gated recurrent unit network towards wastewater quality prediction with uncertainty quantification,"Hongchao Cheng, Jiaxuan Zhong, Dongmei Chen, Daoping Huang, Yiqi Liu",Journal of Water Process Engineering,2026,国外,0,方法/分析,10.1016/j.jwpe.2026.110588,j.jwpe.2026.110588
E10,养殖 AI 系统可信性工程（MLOps / 漂移监测 / 幻觉审计）,新方向（支撑 D6）,3,Research on water level prediction considering uncertainty quantification based on EMD-PSO-RBFNN hybrid model,"Qi Xu, Xiaonuo Zhu, Cheng Zeng, Caixin Li",Eleventh International Conference on Electromechanical Control Technology and Transportation (ICECTT 2026),2026,国外,0,方法/分析,10.1117/12.3123094,12.3123094
E10,养殖 AI 系统可信性工程（MLOps / 漂移监测 / 幻觉审计）,新方向（支撑 D6）,4,Advancing Near-Term Water Quality Forecasting with Explainable Machine Learning and Probabilistic Uncertainty Quantification,"Rohit Shukla, Cayelan C. Carey, Adrienne Breef Pilz, R. Quinn Thomas",,2026,国外,0,方法/分析,10.22541/essoar.15002809/v2,v2
E10,养殖 AI 系统可信性工程（MLOps / 漂移监测 / 幻觉审计）,新方向（支撑 D6）,5,"Reefknot: A Comprehensive Benchmark for Relation Hallucination Evaluation, Analysis and Mitigation in Multimodal Large Language Models","Kening Zheng, Junkai Chen, Yibo Yan, Xin Zou, Huiyu Zhou, Xuming Hu",Findings of the Association for Computational Linguistics: ACL 2025,2025,国外,6,方法/分析,10.18653/v1/2025.findings-acl.322,2025.findings-acl.322
